warehouse_code,region_code,id,delivery_date,product_id,name,step_unit,supplier_id,price,quantity
ALQ,BOG,12442099,2023-07-16,12156,Acelga Estándar - Atado,1.0,4341,500.0,488.0
ALQ,BOG,12419002,2023-07-13,12156,Acelga Estándar - Atado,1.0,4341,600.0,129.0
ALQ,BOG,12481932,2023-07-20,12156,Acelga Estándar - Atado,1.0,4341,550.0,213.0
ALQ,BOG,12151988,2023-06-15,12156,Acelga Estándar - Atado,1.0,4341,600.0,257.0
ALQ,BOG,12704452,2023-08-14,12156,Acelga Estándar - Atado,1.0,4341,600.0,582.0
ALQ,BOG,12276948,2023-06-28,12156,Acelga Estándar - Atado,1.0,4341,600.0,389.0
ALQ,BOG,12716841,2023-08-15,12156,Acelga Estándar - Atado,1.0,4341,600.0,452.0
ALQ,BOG,12535857,2023-07-26,12156,Acelga Estándar - Atado,1.0,4341,550.0,345.0
ALQ,BOG,12324537,2023-07-03,12156,Acelga Estándar - Atado,1.0,4341,500.0,565.0
ALQ,BOG,12599220,2023-08-02,12156,Acelga Estándar - Atado,1.0,4341,550.0,174.0
ALQ,BOG,12525687,2023-07-25,12156,Acelga Estándar - Atado,1.0,4341,550.0,408.0
ALQ,BOG,12818434,2023-08-26,12156,Acelga Estándar - Atado,1.0,4341,500.0,538.0
ALQ,BOG,12546279,2023-07-27,12156,Acelga Estándar - Atado,1.0,4341,550.0,284.0
ALQ,BOG,12068446,2023-06-07,12156,Acelga Estándar - Atado,1.0,4341,600.0,244.0
ALQ,BOG,12139383,2023-06-14,12156,Acelga Estándar - Atado,1.0,4341,600.0,284.0
ALQ,BOG,12589545,2023-08-01,12156,Acelga Estándar - Atado,1.0,4341,550.0,95.0
ALQ,BOG,12664068,2023-08-09,12156,Acelga Estándar - Atado,1.0,4341,600.0,265.0
ALQ,BOG,12698090,2023-08-13,12156,Acelga Estándar - Atado,1.0,4341,600.0,803.0
ALQ,BOG,12785858,2023-08-23,12156,Acelga Estándar - Atado,1.0,4341,500.0,263.0
ALQ,BOG,12345362,2023-07-05,12156,Acelga Estándar - Atado,1.0,4341,600.0,309.0
ALQ,BOG,12841398,2023-08-29,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1000.0,528.0
ALQ,BOG,12598365,2023-08-02,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1400.0,585.0
ALQ,BOG,12220539,2023-06-22,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1150.0,765.0
ALQ,BOG,12055084,2023-06-06,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1200.0,716.0
ALQ,BOG,12796863,2023-08-24,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1000.0,914.0
ALQ,BOG,12177797,2023-06-17,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1000.0,308.0
ALQ,BOG,12323404,2023-07-03,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,127.0
ALQ,BOG,12419114,2023-07-13,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,340.0
ALQ,BOG,12266464,2023-06-27,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1350.0,1327.0
ALQ,BOG,12765301,2023-08-21,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,889.0
ALQ,BOG,12043976,2023-06-05,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,141.0
ALQ,BOG,12199085,2023-06-20,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1000.0,142.0
ALQ,BOG,12399122,2023-07-11,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,620.0
ALQ,BOG,12725749,2023-08-16,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1300.0,782.0
ALQ,BOG,12187822,2023-06-19,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1000.0,122.0
ALQ,BOG,12126292,2023-06-13,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,477.0
ALQ,BOG,12588438,2023-08-01,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1400.0,274.0
ALQ,BOG,12775700,2023-08-22,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,709.0
ALQ,BOG,12610420,2023-08-03,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1400.0,725.0
ALQ,BOG,12033473,2023-06-03,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1000.0,847.0
ALQ,BOG,12697547,2023-08-12,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1350.0,796.0
ALQ,BOG,12757466,2023-08-19,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,580.0
ALQ,BOG,12504958,2023-07-22,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1050.0,823.0
ALQ,BOG,12209495,2023-06-21,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1200.0,583.0
ALQ,BOG,12336046,2023-07-04,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,605.0
ALQ,BOG,12104981,2023-06-12,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,723.0
ALQ,BOG,12716897,2023-08-15,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1300.0,612.0
ALQ,BOG,12632937,2023-08-05,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1500.0,740.0
ALQ,BOG,12704252,2023-08-14,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1350.0,1026.0
ALQ,BOG,12323552,2023-07-03,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,646.0
ALQ,BOG,12139188,2023-06-14,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1050.0,567.0
ALQ,BOG,12557204,2023-07-28,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,547.0
ALQ,BOG,12737321,2023-08-17,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1200.0,532.0
ALQ,BOG,12546398,2023-07-27,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,492.0
ALQ,BOG,12297496,2023-06-30,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,446.0
ALQ,BOG,12512417,2023-07-24,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1050.0,935.0
ALQ,BOG,12620695,2023-08-04,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1350.0,657.0
ALQ,BOG,12243422,2023-06-24,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1150.0,774.0
ALQ,BOG,12011894,2023-06-01,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1200.0,589.0
ALQ,BOG,12461133,2023-07-18,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1200.0,635.0
ALQ,BOG,12785900,2023-08-23,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1000.0,558.0
ALQ,BOG,12577095,2023-07-31,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1400.0,1041.0
ALQ,BOG,12675022,2023-08-10,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1400.0,740.0
ALQ,BOG,12493566,2023-07-21,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,693.0
ALQ,BOG,12158111,2023-06-16,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1150.0,386.0
ALQ,BOG,12068568,2023-06-07,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1200.0,462.0
ALQ,BOG,12471976,2023-07-19,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1200.0,209.0
ALQ,BOG,12356482,2023-07-06,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,670.0
ALQ,BOG,12430339,2023-07-14,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,900.0,338.0
ALQ,BOG,12199277,2023-06-20,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1000.0,650.0
ALQ,BOG,12441391,2023-07-15,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1050.0,475.0
ALQ,BOG,12308706,2023-07-01,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,273.0
ALQ,BOG,12536004,2023-07-26,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,522.0
ALQ,BOG,12367915,2023-07-07,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,639.0
ALQ,BOG,12640749,2023-08-07,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1500.0,1474.0
ALQ,BOG,12525846,2023-07-25,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1150.0,765.0
ALQ,BOG,12253084,2023-06-26,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1350.0,667.0
ALQ,BOG,12379132,2023-07-08,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1050.0,975.0
ALQ,BOG,12104112,2023-06-10,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,290.0
ALQ,BOG,12386296,2023-07-10,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1050.0,795.0
ALQ,BOG,12152035,2023-06-15,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1050.0,593.0
ALQ,BOG,12747406,2023-08-18,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1200.0,421.0
ALQ,BOG,12080858,2023-06-08,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1100.0,751.0
ALQ,BOG,12448585,2023-07-17,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1050.0,924.0
ALQ,BOG,12685764,2023-08-11,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1400.0,549.0
ALQ,BOG,12345556,2023-07-05,1298,Lechuga Batavia Estándar - Unidad,1.0,4311,1150.0,538.0
